10.140.0.153,Проспект Победы,46,Mikrotik Wireless 60G
10.139.0.131,,Mikrotik Wireless 60G,
10.167.0.177,,Mikrotik Wireless 60G,
10.139.0.130,,Mikrotik Wireless 60G,
10.148.0.167,,Mikrotik Wireless 60G,
10.148.0.166,,Mikrotik Wireless 60G,
10.140.0.154,,Mikrotik Wireless 60G,
10.135.0.228,,Mikrotik Wireless 60G,
10.135.0.229,,Mikrotik Wireless 60G,
10.144.0.29,,Mikrotik Wireless 60G,
10.135.0.175,mikrot,Mikrotik Wireless,
10.135.0.176,mikrot,Mikrotik Wireless,
10.156.0.159,Mikrotik,Mikrotik Wireless,
10.156.0.160,Mikrotik,Mikrotik Wireless,
10.167.0.146,,Mikrotik Wireless 60G,
10.135.2.10,,Mikrotik Wireless 60G,
10.135.2.11,,Mikrotik Wireless 60G,
10.111.10.121,,Mikrotik Wireless 60G,
10.111.10.122,,Mikrotik Wireless 60G,
10.167.0.157,,Mikrotik Wireless 60G,
10.167.0.171,,Mikrotik Wireless 60G,
10.140.0.113,,Mikrotik Dyne Dish 6,
10.140.0.112,,Mikrotik Dyne Dish 6,
10.143.0.99,,Mikrotik Dyne Dish 6,
10.143.0.214,,Mikrotik Dyne Dish 6,
10.148.0.237,,Mikrotik Dyne Dish 6,
10.139.0.190,,Mikrotik Wireless 60G,
10.139.0.191,,Mikrotik Wireless 60G,
10.128.0.47,,Mikrotik Wireless 60G,
10.128.0.48,,Mikrotik Wireless 60G,
10.137.0.82,,Mikrotik Wireless 60G,
10.137.0.83,,Mikrotik Wireless 60G,
10.142.0.74,,Mikrotik Wireless 60G,
10.142.0.75,,Mikrotik Wireless 60G,
10.143.0.212,,Mikrotik Wireless 60G,
10.143.0.213,,Mikrotik Wireless 60G,
10.139.0.84,,Mikrotik Stx6,
10.139.0.88,,Mikrotik Stx6,
10.131.0.80,,Mikrotik Wireless 60G,
10.131.0.82,,Mikrotik Wireless 60G,
10.144.0.191,,Mikrotik Wireless 60G,
10.144.0.217,,Mikrotik Wireless 60G,
10.141.0.202,,Mikrotik Wireless 60G,
10.141.0.203,,Mikrotik Wireless 60G,
10.131.0.192,,Mikrotik Wireless 60G,
10.131.0.191,,Mikrotik Wireless 60G,
10.111.30.25,,Mikrotik Wireless 60G,
10.111.30.24,,Mikrotik Wireless 60G,
10.144.0.186,,Mikrotik Wireless 60G,
10.144.0.185,,Mikrotik Wireless 60G,
10.143.0.240,,Mikrotik Dyne Dish 6,
10.143.0.2,,Mikrotik Stx6,
 10.142.0.160,,Mikrotik Wireless 60G,
10.128.0.117,,Mikrotik Wireless 60G,
10.128.0.221,,Mikrotik Wireless 60G,
10.135.0.181,,Mikrotik Dyne Dish 6,
10.135.0.182,,Mikrotik Dyne Dish 6,
10.143.2.4,,Mikrotik Dyne Dish 6,
10.142.0.161,,Mikrotik Wireless 60G,
10.143.0.243,,Mikrotik Wireless 60G,
10.143.0.242,,Mikrotik Wireless 60G,
10.144.0.192,,Mikrotik Wireless 60G,
10.144.0.193,,Mikrotik Wireless 60G,
10.163.0.156,,Mikrotik Wireless 60G,
10.144.0.156,,Mikrotik Base Box,
10.140.0.164,611621,Mikrotik Stx6,
10.140.0.165,,Mikrotik Stx6,
10.142.0.100,,Mikrotik Dyne Dish 6,
10.142.0.104,,Mikrotik Dyne Dish 6,
10.111.30.53,,Mikrotik Wireless 60G,
10.111.30.51,,Mikrotik Wireless 60G,
10.111.11.142,,Mikrotik Wireless 60G,
10.111.11.144,,Mikrotik Wireless 60G,
10.163.0.205,,Mikrotik Wireless 60G,
 10.163.0.220,,Mikrotik Wireless 60G,
10.111.11.105,,Mikrotik Wireless 60G,
10.111.11.101,,Mikrotik Wireless 60G,
10.135.0.113,,Mikrotik Wireless 60G,
10.135.0.112,,Mikrotik Wireless 60G,
10.136.0.226,Заявка № 54961,Mikrotik Dyne Dish 6,
10.135.0.118,,Mikrotik Wireless 60G,
10.135.0.117,,Mikrotik Wireless 60G,
10.137.0.226,,Mikrotik Dyne Dish 6,
10.137.0.225,,Mikrotik Dyne Dish 6,
10.144.0.253,,Mikrotik Wireless 60G,
10.144.0.250,,Mikrotik Wireless 60G,
10.147.0.233,,Mikrotik Dyne Dish 6,
10.135.0.211,,Mikrotik Dyne Dish 6,
10.135.0.216,,Mikrotik Dyne Dish 6,
10.143.0.251,,Mikrotik Dyne Dish 6,
10.143.0.252,,Mikrotik Dyne Dish 6,
10.147.0.234,,Mikrotik Base Box,
10.147.0.236,,Mikrotik Dyne Dish 6,
10.147.0.237,,Mikrotik Dyne Dish 6,
10.148.0.210,,Mikrotik Dyne Dish 6,
10.148.0.213,,Mikrotik Dyne Dish 6,
10.148.0.103,,Mikrotik Wireless 60G,
10.148.0.104,,Mikrotik Wireless 60G,
10.143.2.2,,Mikrotik Base Box,
10.143.2.3,,Mikrotik Dyne Dish 6,
10.167.0.12,,Mikrotik Wireless 60G,
10.167.0.111,,Mikrotik Wireless 60G,
10.143.0.249,,Mikrotik Wireless 60G,
